sid,isb,search,title,dizhi,lng,lat,similarity,name,district,fLng,fLat,followerCount,_id,fAddress
CTHZA4PC4G,建国中路18弄小区,建国中路18弄小区,[黄浦] 建国中路18弄小区,建国中路18号,121.469745,31.21012,0.5333333333333333,建国中路149号,黄浦,121.46920181705,31.212776940935,32,601947da7e3a052fd4976802,建国西路149号
Q4UT56FEQQ,中山南一路1043弄小区,中山南一路1043弄小区,[黄浦] 中山南一路1043弄小区,中山南一路1043弄,121.472605,31.196228,0.9,中山南一路1043弄,黄浦,121.4790734,31.20189499,33,601947dc7e3a052fd497680a,中山南一路1043弄
JCSFNUTBKW,打浦路470弄1-6号小区,打浦路470弄1-6号小区,[黄浦] 打浦路470弄1-6号小区,打浦路470弄,121.472649,31.197018,0.6666666666666666,打浦路470弄,黄浦,121.4793308,31.20304949,37,601947dd7e3a052fd497680d,打浦路470弄
0YXYB0RIPG,吉大公寓,吉大公寓,[黄浦] 吉大公寓,建国中路115弄,121.469,31.209274,1,吉大公寓,黄浦,121.4753896,31.21528843,39,601947de7e3a052fd497680f,建国中路115弄1-2号
,,,,,,,0,大同小区(黄浦),黄浦,121.47877,31.211421,43,601947de7e3a052fd4976811,丽园路1016弄
SIKDNOVYUP,长春苑,长春苑,[黄浦] 长春苑,南塘浜路122号,121.4718,31.202911,1,长春苑,黄浦,121.478127,31.208873,45,601947e07e3a052fd4976814,南塘浜路122号
VMJYXTWKRA,瑞金南路271弄小区,瑞金南路271弄小区,[黄浦] 瑞金南路271弄小区,瑞金南路271弄,121.468968,31.199007,0.875,瑞金南路271弄,黄浦,121.475433,31.205832,59,601947e27e3a052fd4976816,瑞金南路271弄
,,,,,,,0,海兴广场,黄浦,121.474018,31.210605,48,601947e27e3a052fd4976818,瑞金南路1号
9FB0SPLB85,南塘浜路125弄小区,南塘浜路125弄小区,[黄浦] 南塘浜路125弄小区,南塘浜路125弄,121.472368,31.203502,0.5,南塘浜路113-121号,黄浦,121.4791915,31.20937084,61,601947e27e3a052fd497681a,"南塘浜路121号, 南塘浜路113号, 南塘浜路115号, 南塘浜路119号"
JD5ACTYJXB,斜土路734弄小区,斜土路734弄小区,[黄浦] 斜土路734弄小区,斜土路734弄,121.472375,31.201833,0.42857142857142855,斜土路723弄,黄浦,121.4791151,31.20836103,55,601947e37e3a052fd497681d,斜土路723弄
V5YIXFXNOQ,瞿溪路1032弄小区,瞿溪路1032弄小区,[黄浦] 瞿溪路1032弄小区,瞿溪路1032弄,121.47557,31.198776,0.375,瞿溪路1200弄,黄浦,121.4781852,31.20399734,8,601947ce7e3a052fd49767e5,瞿溪路1200弄
MEOWMUTL8F,明德村,明德村,[黄浦] 明德村,瑞金二路326-360号,121.466384,31.207317,0.5,明德邨,黄浦,121.47325177444,31.213743335137,9,601947d17e3a052fd49767ea,瑞金二路288-360号
V5YIXFXNOQ,瞿溪路1032弄小区,瞿溪路1032弄小区,[黄浦] 瞿溪路1032弄小区,瞿溪路1032弄,121.47557,31.198776,0.5,瞿溪路1053弄,黄浦,121.482156,31.205812,10,601947d17e3a052fd49767ec,瞿溪路1053弄
,,,,,,,0,田子坊,黄浦,121.4760811,31.21414101,12,601947d27e3a052fd49767ef,"泰康路210弄, 泰康路274弄, 建国中路155弄, 建国中路147号, 建国中路143号, 泰康路284号, 建国中路155弄1-39号"
6HDNPDWZUK,海丽花园,海丽花园,[黄浦] 海丽花园,打浦路80弄,121.469686,31.203425,0.3333333333333333,海丽大厦,黄浦,121.476816,31.209358,14,601947d27e3a052fd49767f3,打浦路88号
9FB0SPLB85,南塘浜路125弄小区,南塘浜路125弄小区,[黄浦] 南塘浜路125弄小区,南塘浜路125弄,121.472368,31.203502,0.625,南塘浜路123弄,黄浦,121.479095,31.209647,15,601947d47e3a052fd49767f6,南塘浜路123弄
CTHZA4PC4G,建国中路18弄小区,建国中路18弄小区,[黄浦] 建国中路18弄小区,建国中路18号,121.469745,31.21012,0.5333333333333333,建国中路137弄,黄浦,121.4749724,31.21522025,19,601947d57e3a052fd49767f9,建国中路137弄
JCSFNUTBKW,打浦路470弄1-6号小区,打浦路470弄1-6号小区,[黄浦] 打浦路470弄1-6号小区,打浦路470弄,121.472649,31.197018,0.4444444444444444,打浦路480弄,黄浦,121.479394,31.20276,18,601947d67e3a052fd49767fb,打浦路480弄
430FUKB9DF,鲁班路400弄小区,鲁班路400弄小区,[黄浦] 鲁班路400弄小区,鲁班路400弄,121.475748,31.200427,0.2857142857142857,鲁班路562弄,黄浦,121.4830327,31.20438374,22,601947d77e3a052fd49767fd,鲁班路562弄
2V08LGANYN,瑞金二路69弄小区,瑞金二路69弄小区,[黄浦] 瑞金二路69弄小区,瑞金二路69弄,121.464769,31.217169,0.4,瑞金二路258号,黄浦,121.472857,31.214066,27,601947d97e3a052fd4976800,瑞金二路258号
,,,,,,,0,泰康路21号,黄浦,121.4772022,31.2139897,94,601948037e3a052fd4976876,泰康路21号
6FDPF7AGSA,思南公寓,思南公寓,[黄浦] 思南公寓,建国中路115弄,121.469113,31.208952,1,思南公寓,黄浦,121.475662,31.215062,112,601948037e3a052fd4976878,建国中路115弄3-4号
2V08LGANYN,瑞金二路69弄小区,瑞金二路69弄小区,[黄浦] 瑞金二路69弄小区,瑞金二路69弄,121.464769,31.217169,0.4,瑞金二路225弄,黄浦,121.4733685,31.21400815,65,601948037e3a052fd497687d,"瑞金二路225弄, 瑞金二路225弄1-44号"
,,,,,,,0,永泰公寓,黄浦,121.477867,31.214278,112,601948067e3a052fd4976883,"泰康路3号,泰康路19号"
FIA9XWNU45,锦城公寓(打浦路),锦城公寓(打浦路),[黄浦] 锦城公寓(打浦路),打浦路90弄,121.47019,31.202644,0.18181818181818182,打浦大楼,黄浦,121.473456,31.211372,103,601948067e3a052fd4976885,"肇嘉浜路18弄1-2号,瑞金二路456弄1号"
FIA9XWNU45,锦城公寓(打浦路),锦城公寓(打浦路),[黄浦] 锦城公寓(打浦路),打浦路90弄,121.47019,31.202644,0.2857142857142857,打浦路500弄,黄浦,121.4796789,31.20248479,112,601948067e3a052fd4976887,打浦路500弄
EIGWFLYKO2,江南造船新苑,江南造船新苑,[黄浦] 江南造船新苑,瞿溪路926弄,121.479069,31.198982,0.42857142857142855,江南造船大厦(公寓),黄浦,121.482711,31.204261,125,601948087e3a052fd497688a,鲁班路598弄1号
FIA9XWNU45,锦城公寓(打浦路),锦城公寓(打浦路),[黄浦] 锦城公寓(打浦路),打浦路90弄,121.47019,31.202644,0.5333333333333333,锦城公寓(黄浦),黄浦,121.477018,31.208537,117,601948097e3a052fd497688c,打浦路90弄1-2号
,,,,,,,0,联兴大厦,黄浦,121.4693296,31.21088832,125,6019480a7e3a052fd497688f,陕西南路333弄5号
WL7BHDNQWA,南塘浜路93弄小区,南塘浜路93弄小区,[黄浦] 南塘浜路93弄小区,南塘浜路93弄,121.473961,31.204269,0.18181818181818182,南塘公寓,黄浦,121.479639,31.209802,122,6019480b7e3a052fd4976891,南塘浜路125弄
B0TUJTVVNG,乔家栅小区,乔家栅小区,[黄浦] 乔家栅小区,凝和路139弄,121.493976,31.217271,0.2,乔家路174弄,黄浦,121.502209,31.223099,,601947c57e3a052fd49767c8,乔家路174弄
B0TUJTVVNG,乔家栅小区,乔家栅小区,[黄浦] 乔家栅小区,凝和路139弄,121.493976,31.217271,0.4,乔家栅路40弄,黄浦,121.500764,31.223821,,601947c67e3a052fd49767ca,乔家栅路40弄
CTHZA4PC4G,建国中路18弄小区,建国中路18弄小区,[黄浦] 建国中路18弄小区,建国中路18号,121.469745,31.21012,0.5333333333333333,建国中路155弄,黄浦,121.47431768761,31.214556650077,3,601947c87e3a052fd49767d2,建国中路155弄1-39号
430FUKB9DF,鲁班路400弄小区,鲁班路400弄小区,[黄浦] 鲁班路400弄小区,鲁班路400弄,121.475748,31.200427,0.8571428571428571,鲁班路400弄,黄浦,121.4824246,31.20608111,3,601947c97e3a052fd49767d5,鲁班路400弄
,,,,,,,0,斯格威铂尔曼大酒店,黄浦,121.477556,31.211004,5,601947ca7e3a052fd49767d7,打浦路15号
G0L9UV0EZM,和玫坊,和玫坊,[黄浦] 和玫坊,建国中路61弄,121.469884,31.209458,1,和玫坊,黄浦,121.4763014,31.2157062,5,601947ca7e3a052fd49767d9,建国中路61弄1-8号
,,,,,,,0,宝鼎大厦,黄浦,121.4757012,31.21176064,4,601947cb7e3a052fd49767dc,徐家汇路550号
,,,,,,,0,致远大厦,黄浦,121.477971,31.207629,7,601947cd7e3a052fd49767de,斜土路768号
,,,,,,,0,天成里,黄浦,121.4753228,31.21379328,7,601947cd7e3a052fd49767e0,"泰康路248弄1-51号,泰康路250号"
,,,,,,,0,徐家汇路398号,黄浦,121.4792133,31.21475384,7,601947ce7e3a052fd49767e2,徐家汇路398号
,,,,,,,0,柳市路80号,黄浦,121.505273,31.217823,2,601947f67e3a052fd4976859,柳市路80号
PRFOCPWM0S,中华苑,中华苑,[黄浦] 中华苑,光启南路428号,121.494987,31.215342,0.25,中华路367号,黄浦,121.5051058,31.22515568,2,601947f97e3a052fd497685b,中华路367号
6Z2NE2KDMO,东怡花苑,东怡花苑,[黄浦] 东怡花苑,局门路599弄,121.483362,31.200702,0,怡华大楼,黄浦,121.5048936,31.21764673,2,601947fa7e3a052fd4976861,陆家浜路471号
,,,,,,,0,药局弄95弄,黄浦,121.502431,31.223958,2,601947fa7e3a052fd4976865,药局弄95弄
,,,,,,,0,梅家街124弄,黄浦,121.501271,31.226297,3,601947fa7e3a052fd4976867,梅家街124弄
,,,,,,,0,赵家宅小区,黄浦,121.501127,31.227129,3,601947fd7e3a052fd497686b,"复兴东路540弄, 灵济街54号"
,,,,,,,0,和顺街26弄,黄浦,121.5035414,31.22604047,3,601947fd7e3a052fd497686d,和顺街26弄
,,,,,,,0,东江阴街194号,黄浦,121.5037165,31.21965886,3,601947fe7e3a052fd497686f,东江阴街194号
,,,,,,,0,光启南路286弄,黄浦,121.501501,31.222982,4,601947fe7e3a052fd4976871,光启南路286弄
